crate,dir_name,primary_lib,is_workspace,feature_label,workspace_pathway,repository,loc,unsafe_pct,type,lib_or_app,test_case_count,description,api_total,api_covered_pre,api_pct_pre,line_pct_pre,api_covered_post,api_pct_post,line_pct_post,boosted,tests_generated,iterations_used
bstr,bstr,bstr,True,workspace/default,bstr/tests,https://github.com/BurntSushi/bstr,6.1K,5.29,Parsing/Text,workspace,48,"The 48 tests cover only 40.8% of a large 267-method public API and 61.3% of lines across a 6.1K-line workspace with a meaningful 5.29% unsafe ratio, indicating that core byte string searching and basic BStr/BString construction are exercised while the majority of methods—likely including many find/replace variants, Unicode-aware iteration, lossy conversion, and the extensive ByteSlice trait surface—remain untested. The ~323 lines of unsafe code likely concentrate in UTF-8 boundary handling, unchecked slice construction, and SIMD-accelerated search internals where instrumentation could affec...",36,23,63.89,61.67,31,86.11,64.33,True,4,2
bytemuck,bytemuck,bytemuck,False,default,,https://github.com/Lokathor/bytemuck,2.0K,28.29,Utilities,lib,43,"The test suite covers roughly 60% of the public API with 43 tests, but the 51.9% line coverage is notably low for a crate where over a quarter of the code is unsafe—meaning a significant portion of unsafe transmutation, casting, and alignment logic is likely unexercised. The gap between API coverage and line coverage suggests that even tested functions lack thorough edge-case exploration, which is critical for a byte-reinterpretation library where misuse leads to undefined behavior. This suite requires substantial augmentation—particularly targeting unsafe code paths, invalid alignment scen...",38,36,94.74,51.95,38,100.0,90.8,True,3,0
byteorder,byteorder,byteorder,False,default,,https://github.com/BurntSushi/byteorder,2.6K,3.83,Serialization,lib,680,"The 680 tests provide exceptional breadth across 82.4% of the 131 public API methods, thoroughly exercising read/write operations for all integer and float types across BigEndian, LittleEndian, and NativeEndian byte orders, yet achieve only 71.0% line coverage, suggesting many tests are parameterized variants of similar read/write patterns that miss internal branching—likely around slice-length validation, partial reads, and error paths in the 3.83% unsafe surface. The ~100 lines of unsafe code almost certainly involve raw pointer casts and transmutations between byte slices and numeric typ...",122,102,83.61,70.98,102,83.61,70.98,False,1,0
cc,cc-rs,cc,True,workspace/default,cc-rs/tests,https://github.com/rust-lang/cc-rs,7.5K,2.37,System/OS,workspace,88,"The test suite covers 72.1% of the public API with 88 tests but achieves only 63.3% line coverage, indicating that many covered functions are only partially exercised—likely due to platform-conditional logic and compiler detection paths that are hard to test portably. The low unsafe percentage (2.37%) reduces risk, but the gap between API coverage and line coverage suggests that error handling, edge cases, and platform-specific branches (where unsafe code like environment variable reads or process spawning likely resides) are undertested. For unsafe instrumentation benchmarking, the suite w...",75,52,69.33,63.28,67,89.33,65.05,True,12,2
chrono,chrono,chrono,False,default,,https://github.com/chronotope/chrono,19.5K,0.09,Utilities,lib,274,"The test suite provides solid coverage with 88% line coverage and 77.7% API coverage across 274 tests, exercising the majority of chrono's date/time parsing, formatting, arithmetic, and timezone operations. The 0.09% unsafe footprint is minimal, and the existing high line coverage means the few unsafe blocks are very likely already exercised, making gaps in unsafe instrumentation negligible for benchmarking purposes. The suite is adequate as-is for unsafe instrumentation benchmarking without augmentation, though the ~22% uncovered API surface suggests some edge-case constructors or lesser-u...",324,264,81.48,88.03,264,81.48,88.03,False,0,0
clru,clru,clru,False,default,,,,,,,,,36,34,94.44,93.76,34,94.44,93.76,False,0,0
colored,colored,colored,False,default,,https://github.com/mackwic/colored,2.0K,0.98,Utilities,lib,19,"The 19 tests cover 62.1% of the 103 public API methods and 75.6% of lines across a 2.0K-line crate with a low 0.98% unsafe ratio, indicating core colorization methods like red, blue, bold, and basic styling are exercised while roughly 39 methods—likely including many individual color/style accessors, control flow helpers, and Windows-specific console handling—remain untested. The small amount of unsafe code is most likely related to Windows console API calls or global state manipulation for color override control, and the 75.6% line coverage leaves some uncertainty about whether these paths...",27,20,74.07,75.59,24,88.89,83.8,True,3,2
combine,combine,combine,False,all-features,,https://github.com/Marwes/combine,11.6K,0.15,Parsing/Text,lib,40,"The 40 tests cover only 43.6% of a very large 417-method public API and achieve 60.4% line coverage across 11.6K lines, leaving the majority of parser combinators—likely including many, choice, between, sep_by, and numerous stream-specific adapters—without direct test coverage. The 0.15% unsafe ratio is negligible, meaning the tiny amount of unsafe code is likely a single pointer operation or transmute that may or may not fall within the covered 60% of lines, making the instrumentation risk low but not verifiable from coverage data alone. The suite is minimally adequate for unsafe instrumen...",144,79,54.86,60.43,104,72.22,67.57,True,8,5
cpp_demangle,cpp_demangle,cpp_demangle,False,default,,https://github.com/gimli-rs/cpp_demangle,10.2K,0.05,System/OS,lib,57,"The 57 tests achieve an excellent 90.2% line coverage despite only 53.5% API coverage across a 10.2K-line crate, indicating the tests thoroughly exercise the core demangling parser through integration-style tests on mangled symbol inputs while leaving many individual AST node and formatting methods without direct unit-level coverage. The 0.05% unsafe ratio is trivially small—likely a single operation—and is almost certainly reached within the 90.2% covered lines, making unsafe instrumentation risk effectively negligible. The suite is adequate for unsafe instrumentation benchmarking due to t...",16,13,81.25,90.16,13,81.25,90.16,False,0,0
cssparser,cssparser,cssparser,True,workspace/default,cssparser/tests,https://github.com/servo/rust-cssparser,3.7K,0.91,Parsing/Text,workspace,45,"The 45 tests achieve strong 76.8% API coverage and an excellent 91.5% line coverage across a 3.7K-line workspace with a low 0.91% unsafe ratio, indicating thorough exercise of the CSS tokenizer, parser entry points, color parsing, and selector matching logic while roughly 59 public methods—likely including less-common at-rule handlers, error recovery helpers, and serialization formatting variants—remain untested. The ~34 lines of unsafe code are almost certainly within the 91.5% covered lines given their likely location in performance-critical tokenizer internals or string handling, making ...",83,60,72.29,91.48,71,85.54,92.73,True,12,3
curl,curl,curl,True,primary-only/default,curl/tests,https://github.com/alexcrichton/curl-rust,4.2K,15.9,Async/Network,lib,61,"The 61 tests cover only 28.5% of the 688 public API surface and achieve 35% line coverage, which is notably low for a crate with 15.9% unsafe code that wraps the libcurl C library. The async/network nature means tests likely focus on common HTTP request paths while leaving large portions of the options-setting API, error handling, and underlying unsafe FFI boundary code unexercised. This suite is inadequate for unsafe instrumentation benchmarking without significant augmentation targeting the uncovered unsafe blocks, particularly around callback mechanisms, multi-handle operations, and less...",577,164,28.49,35.0,547,94.8,72.73,True,29,5
dashmap,dashmap,dashmap,False,all-features,,https://github.com/xacrimon/dashmap,3.1K,6.17,Data Structures,lib,20,"The test suite covers roughly half the API surface (57.4%) and achieves only 48.4% line coverage across 20 tests, which is inadequate for a concurrent data structure with 6.17% unsafe code that likely handles raw pointer manipulation, synchronization primitives, and memory layout concerns. Key gaps include over 90 untested public methods, meaning significant portions of unsafe code paths—particularly around concurrent access patterns, edge cases in entry APIs, and iterator safety—are likely unexercised. The suite requires substantial augmentation with targeted tests for unsafe code paths, c...",123,78,63.41,48.36,104,84.55,68.08,True,17,2
deranged,deranged,deranged,True,workspace/all-features,"deranged/deranged, deranged/deranged/tests",https://github.com/jhpratt/deranged,2.3K,0.7,Math/Computing,workspace,59,"The 59 tests cover 62.5% of the public API and 74.7% of lines across a 2.3K-line crate with a low 0.7% unsafe ratio, indicating solid exercise of core ranged integer operations like construction, arithmetic, and bounds checking while leaving 3 public methods—likely conversion or niche-related functions—untested. The minimal unsafe code almost certainly relates to niche optimization or unchecked constructors, and the 74.7% line coverage suggests these paths are partially but not fully reached, leaving some unsafe invariant-dependent code potentially unverified. The suite is reasonably adequa...",1,1,100.0,74.65,1,100.0,74.73,False,0,0
dlv-list,dlv-list,dlv_list,False,default,,https://github.com/sgodwincs/dlv-list-rs,2.4K,0.46,Data Structures,lib,87,"The test suite is strong with 87 tests achieving 98.2% line coverage and exercising 82% of the public API, which is well above average for a data structure crate. The 13 uncovered API functions represent a minor gap, though the very low unsafe footprint (0.46%) means the risk surface is minimal and likely already exercised by the high line coverage. The suite is adequate for unsafe instrumentation benchmarking largely as-is, though closing coverage on the remaining ~12 public methods would provide a more complete baseline for detecting any behavioral changes under instrumentation.",40,39,97.5,98.17,39,97.5,98.17,False,0,0
ego-tree,ego-tree,ego_tree,False,all-features,,,,,,,,,48,43,89.58,87.06,43,89.58,87.06,False,0,0
encoding_rs,encoding_rs,encoding_rs,False,default,,https://github.com/hsivonen/encoding_rs,131.2K,0.36,Parsing/Text,lib,142,"The test suite achieves strong line coverage at 91.6% and exercises nearly 80% of the public API surface, which is solid for a text encoding library that must handle numerous codec edge cases across its large 131K LOC codebase. The 20% uncovered API surface represents a moderate gap, though the low unsafe percentage (0.36%) means the risk surface for unsafe instrumentation is small and likely well-covered by the high line coverage. The suite is adequate for unsafe instrumentation benchmarking without augmentation, as the minimal unsafe code is almost certainly exercised by the extensive cod...",79,62,78.48,91.56,70,88.61,92.59,True,3,2
filetime,filetime,filetime,False,default,,https://github.com/alexcrichton/filetime,1.2K,5.29,System/OS,lib,10,"The 10 tests cover 70.4% of the 27 public API methods and 75.5% of lines across a compact 1.2K-line crate with a meaningful 5.29% unsafe ratio, indicating that core file timestamp retrieval and setting operations are exercised while roughly 8 methods—likely including platform-specific variants for symlinks, directory file descriptors, and nanosecond-precision accessors—remain untested. The ~63 lines of unsafe code involve direct syscalls to utimensat, futimens, or Windows SetFileTime APIs and raw file descriptor handling, and the 24.5% uncovered lines likely include platform-conditional bra...",15,11,73.33,75.46,15,100.0,80.21,True,1,2
fixedbitset,fixedbitset,fixedbitset,False,default,,https://github.com/petgraph/fixedbitset,1.8K,7.54,Data Structures,lib,69,"The test suite is solid with 69 tests achieving 87.5% line coverage and exercising over 80% of the public API, providing good breadth across the bitset operations. The ~18% of uncovered API surface and the remaining line coverage gaps could overlap with the 7.54% unsafe code (likely in raw pointer manipulation for bit storage and unchecked indexing), which would be a meaningful gap for instrumentation benchmarking. The suite is largely adequate for benchmarking unsafe instrumentation overhead but would benefit from targeted tests that stress the specific unsafe paths—particularly edge cases...",56,53,94.64,87.54,53,94.64,87.54,False,0,0
flate2,flate2,flate2,False,all-features,,https://github.com/rust-lang/flate2-rs,4.0K,4.41,Serialization,lib,45,"The test suite provides solid baseline coverage with 77.7% API surface coverage and 76.2% line coverage across 45 tests, exercising the core compression and decompression pathways well for a wrapper crate over native zlib/miniz backends. The 22.3% uncovered API surface and ~24% uncovered lines represent a meaningful gap, particularly since the 4.41% unsafe code likely concentrates in FFI boundary calls and buffer management where instrumentation overhead is most critical to benchmark. The suite is a reasonable starting point for unsafe instrumentation benchmarking but would benefit from tar...",198,186,93.94,76.23,186,93.94,76.23,False,0,0
fragile,fragile,fragile,False,default,,https://github.com/mitsuhiko/fragile,1.1K,2.76,Concurrency,lib,24,"The 24 tests cover roughly 72% of the public API surface with 68% line coverage, which leaves meaningful gaps in a concurrency crate where the small amount of unsafe code (2.76%) likely handles critical cross-thread send/access semantics and destructor behavior. The untested 17 API functions and 32% of uncovered lines likely include edge cases around panic paths, drop behavior on foreign threads, and error handling—areas directly relevant to the correctness of unsafe invariants. For unsafe instrumentation benchmarking, the suite would need augmentation with targeted tests for the remaining ...",24,15,62.5,68.03,24,100.0,76.2,True,9,2
fs4,fs4,fs4,False,all-features,,https://github.com/al8n/fs4-rs,1.7K,2.87,System/OS,lib,14,"The test suite achieves exceptional coverage at 99.8% line coverage and 93.5% API surface coverage across 14 tests, which is strong for a small system-level crate with 31 public functions. The low unsafe percentage (2.87%) combined with near-complete line coverage suggests the unsafe code paths—likely platform-specific file locking syscall wrappers—are well exercised, though with only 14 tests the error handling and edge case diversity around those unsafe boundaries may be thin. The suite is adequate as a baseline for unsafe instrumentation benchmarking, but augmenting with explicit adversa...",9,9,100.0,99.78,9,100.0,99.78,False,0,0
getrandom,getrandom,getrandom,False,default,,https://github.com/rust-random/getrandom,1.6K,24.22,Crypto/Security,lib,17,"The 17 tests cover only 32.1% of the public API and 33.3% of lines in a crate with an exceptionally high 24.22% unsafe ratio, leaving the majority of platform-specific unsafe syscall wrappers, fallback paths, and error handling for entropy sources completely unexercised. The severe coverage gaps are especially problematic because getrandom's unsafe code involves direct OS interface calls, raw pointer passing to kernel APIs, and uninitialized buffer handling—precisely the operations most likely to exhibit behavioral changes under instrumentation. The suite is inadequate for unsafe instrument...",6,4,66.67,33.33,6,100.0,43.8,True,26,2
gimli,gimli,gimli,True,workspace/default,gimli/tests,https://github.com/gimli-rs/gimli,39.1K,0.07,Serialization,workspace,471,"The test suite provides strong line coverage at 89.9% across 471 tests for this DWARF parsing/writing library, with 70.4% API coverage leaving roughly 341 public functions/methods untested, likely in less common DWARF extensions or builder APIs. The negligible unsafe footprint (0.07%) means the minimal unsafe code paths are almost certainly exercised by the existing high line coverage, making instrumentation overhead benchmarking straightforward but limited in scope. The suite is adequate for unsafe instrumentation benchmarking given the near-zero unsafe surface, though the 30% API coverage...",588,496,84.35,89.92,496,84.35,89.92,False,0,0
git2,git2,git2,True,workspace/default,git2/tests,https://github.com/rust-lang/git2-rs,18.6K,24.7,Utilities,workspace,188,"The 188 tests achieve 69.7% line coverage and exercise 55.3% of the public API, which is moderate but leaves nearly half of the 1375 public functions untested — a significant gap given that 24.7% of the codebase is unsafe, largely consisting of FFI bindings to libgit2. The uncovered API surface likely includes less common git operations whose unsafe FFI boundaries remain unexercised, creating blind spots for instrumentation that targets memory safety at the Rust-C interface. For unsafe instrumentation benchmarking, the suite provides a reasonable baseline with real-world FFI patterns but wo...",1070,656,61.31,69.66,761,71.12,73.88,True,6,5
h2,h2,h2,True,workspace/default,"h2/tests, h2/tests/h2-tests",https://github.com/hyperium/h2,19.7K,0.01,Async/Network,workspace,419,"The 419 tests achieve an impressive 79.7% API coverage across a very large 940-method public surface and 88.9% line coverage over 19.7K lines, indicating thorough exercise of HTTP/2 connection management, stream multiplexing, flow control, HPACK header compression, and frame encoding/decoding while roughly 191 methods—likely including less-common configuration builders, error introspection accessors, and protocol edge-case handlers—remain untested. The 0.01% unsafe ratio is effectively zero, amounting to one or two lines at most, making unsafe instrumentation concerns entirely negligible fo...",100,85,85.0,88.99,85,85.0,88.95,False,0,0
hashbrown,hashbrown,hashbrown,False,default,,https://github.com/rust-lang/hashbrown,10.5K,7.67,Data Structures,lib,102,"The 102 tests cover 59.2% of a large 524-method public API and achieve 70.0% line coverage across 10.5K lines with a significant 7.67% unsafe ratio, indicating that core HashMap and HashSet operations—insertion, lookup, removal, and iteration—are exercised while roughly 214 public methods spanning raw entry APIs, table-level operations, entry variants, and drain/retain iterators remain untested. The ~805 lines of unsafe code center on the critical SwissTable implementation including bucket manipulation, probe sequences, SIMD group matching, and RawTable growth/rehashing, and the 70% line co...",191,130,68.06,69.9,157,82.2,73.09,True,4,2
hashlink,hashlink,hashlink,False,all-features,,https://github.com/kyren/hashlink,3.0K,14.2,Data Structures,lib,66,"The 66 tests cover 70.4% of the public API and 72.1% of lines in a 3.0K-line crate with a high 14.2% unsafe ratio, indicating moderate coverage of the linked hash map operations but leaving roughly 63 public methods and nearly 30% of lines—likely including raw pointer manipulation for linked-list node insertion, removal, and reordering—without direct testing. The gap between API coverage and unsafe density is concerning because hashlink's unsafe code centers on intrusive doubly-linked list operations where pointer aliasing, node unlinking, and drop ordering are exactly the paths most sensit...",154,126,81.82,72.12,126,81.82,72.12,False,0,0
headers,headers,headers,True,workspace/default,headers/tests,https://github.com/hyperium/headers,5.9K,0.02,Async/Network,workspace,112,"The test suite provides 112 tests but only covers 39.1% of the 294 public API surface and achieves 68% line coverage, indicating significant portions of header parsing, formatting, and edge-case handling are untested. Given the near-zero unsafe usage (0.02%), the gap in coverage is less critical for unsafe instrumentation benchmarking specifically, though the undertested API surface means many header type implementations likely lack validation of malformed input handling. The suite would need augmentation to reach adequate API coverage for comprehensive benchmarking, but the minimal unsafe ...",114,64,56.14,68.02,98,85.96,74.44,True,5,2
http,http,http,True,workspace/default,http/tests,https://github.com/hyperium/http,8.6K,0.75,Async/Network,workspace,127,"The 127 tests cover 56.0% of a large 361-method public API and 67.4% of lines across an 8.6K-line workspace with a low 0.75% unsafe ratio, indicating that core Request/Response builders, URI parsing, HeaderMap operations, and StatusCode handling are exercised while roughly 159 methods—likely including many HeaderName/HeaderValue accessors, Method variants, Extensions API, and less-common URI component methods—remain untested. The ~65 lines of unsafe code likely reside in HeaderMap's internal hash table implementation involving probe sequences and bucket manipulation, and the 67.4% line cove...",195,111,56.92,67.39,167,85.64,74.44,True,5,2
http-body,http-body,http_body,True,workspace/default,"http-body/http-body, http-body/http-body/tests",https://github.com/hyperium/http-body,1.8K,0.76,Async/Network,workspace,30,"The test suite covers roughly 61.5% of the public API and achieves 65.2% line coverage across 30 tests, leaving meaningful gaps in both surface area and execution paths for a crate with async/network semantics. The low unsafe percentage (0.76%) means the untested regions are unlikely to concentrate unsafe code, but the nearly 40% of uncovered API surface raises concern that edge cases around body polling, trailers, and size hints may lack validation, which matters for instrumentation that hooks into those paths. The suite is functional but inadequate for confident unsafe instrumentation ben...",19,12,61.54,65.21,18,94.74,67.57,False,0,1
httparse,httparse,httparse,False,default,,https://github.com/seanmonstar/httparse,3.0K,20.91,Async/Network,lib,100,"The 100 tests achieve 66.1% API coverage and a strong 89.0% line coverage across a 3.0K-line crate with a very high 20.91% unsafe ratio, indicating thorough exercise of the core HTTP request/response parsing pipeline—including SIMD-accelerated header scanning and status line parsing—while roughly 40 public methods, likely including various Header accessors, partial parse state methods, and less-common configuration options, remain untested. The ~627 lines of unsafe code span SIMD byte scanning for delimiters, unchecked slice indexing for performance-critical header parsing, and raw pointer ...",25,14,56.0,88.98,25,100.0,94.64,True,3,2
imgref,imgref,imgref,False,default,,,,,,,,,34,31,91.18,76.98,31,91.18,76.98,False,0,0
indexmap,indexmap,indexmap,True,workspace/default,indexmap/tests,https://github.com/indexmap-rs/indexmap,7.8K,0.1,Data Structures,workspace,85,"The 85 tests cover 64.9% of a large 576-method public API and 69.4% of lines across a 7.8K-line workspace, indicating that core IndexMap and IndexSet operations—insertion, lookup, iteration in order, and swap_remove—are exercised while roughly 202 public methods, likely including many entry API variants, range operations, drain/split_off, sorting methods, and serde integration, remain untested. The 0.1% unsafe ratio is negligible, amounting to roughly 8 lines that are almost certainly within the covered lines, making unsafe instrumentation concerns irrelevant for this crate. The suite is ad...",290,188,64.83,69.35,257,88.62,84.25,True,28,2
iri-string,iri-string,iri_string,True,workspace/all-features,iri-string/tests,https://github.com/lo48576/iri-string,16.1K,3.59,Crypto/Security,workspace,10,"The 10 tests cover 70.2% of a large 456-method public API and 72.2% of lines across a 16.1K-line workspace with a 3.59% unsafe ratio, indicating that core IRI/URI parsing, resolution, and normalization paths are exercised through a small number of integration-style tests while roughly 136 public methods—likely including component accessors, percent-encoding utilities, and various string-type conversion functions—lack direct coverage. The ~578 lines of unsafe code likely involve unchecked string slicing and transmute-style conversions between validated IRI string types where invariants are a...",145,106,73.1,72.22,132,91.03,77.49,True,5,2
jni,jni,jni,False,all-features,,https://github.com/jni-rs/jni-rs,5.2K,7.54,System/OS,lib,23,"The 23 tests cover 62.1% of a large 293-method public API and 64.2% of lines across a 5.2K-line crate with a notable 7.54% unsafe ratio, indicating that core JNI environment operations—object creation, method invocation, and type conversion—are exercised while roughly 111 public methods spanning array operations, field access, monitor handling, and less-common JNI call variants remain untested. The ~392 lines of unsafe code involve raw JNI FFI calls, pointer-to-jobject conversions, and null-check-dependent dereferences that are particularly sensitive to instrumentation because additional ov...",192,119,62.12,64.22,178,92.71,78.72,True,51,2
jpeg-decoder,jpeg-decoder,jpeg_decoder,False,default,,https://github.com/image-rs/jpeg-decoder,4.2K,12.6,Serialization,lib,23,"The 23 tests achieve 81.2% line coverage and 65% API coverage across a 4.2K-line crate with a notably high 12.6% unsafe ratio, suggesting the tests exercise the main JPEG decoding pipeline well but leave roughly a third of public API—likely including IDCT, color conversion, and upsampling routines where unsafe buffer manipulation concentrates—without direct coverage. The significant gap between test count and API surface size means many unsafe-heavy internal paths are only exercised incidentally through integration-style decode tests rather than targeted unit tests, making it difficult to i...",11,8,72.73,81.16,11,100.0,81.72,True,2,2
lexical-core,lexical-core,lexical_core,True,workspace/default,"lexical-core/lexical-core, lexical-core/lexical-core/tests",https://github.com/Alexhuszagh/rust-lexical,27.6K,1.03,Parsing/Text,workspace,394,"The 394 tests achieve full 100% API coverage across the crate's narrow 6-function public surface, but only 63.2% line coverage over a large 27.6K-line workspace, indicating that while every public entry point is exercised, substantial internal parsing logic—likely spanning float, integer, and format-specific conversion paths across workspace subcrates—remains untested. The low 1.03% unsafe ratio combined with the large codebase means the ~284 lines of unsafe code are spread thinly and may not be consistently reached by the existing tests, particularly in edge-case parsing branches and buffe...",6,6,100.0,63.24,6,100.0,63.29,False,0,0
libsecp256k1,libsecp256k1,libsecp256k1,True,workspace/default,libsecp256k1/tests,https://github.com/paritytech/libsecp256k1,4.6K,0.65,Crypto/Security,workspace,20,"The 20 tests cover 64.2% of the 53 public API methods and achieve 82.9% line coverage across a 4.6K-line workspace with a low 0.65% unsafe ratio, indicating that core elliptic curve operations—key generation, signing, verification, and recovery—are well-exercised while roughly 19 methods, likely including less-common serialization formats, SharedSecret operations, and some PublicKey/SecretKey conversion accessors, remain untested. The ~30 lines of unsafe code are minimal and likely confined to FFI boundaries or raw byte-to-key conversions, and the 82.9% line coverage suggests these paths ar...",44,34,77.27,82.87,44,100.0,90.32,True,4,2
log,log,log,False,default,,https://github.com/rust-lang/log,3.3K,1.95,Utilities,lib,17,"The test suite covers less than 36% of the public API surface with only 17 tests, which is thin for a crate with 123 public functions/methods, though the 74.4% line coverage suggests the tested paths exercise shared internal logic reasonably well. The small amount of unsafe code (roughly 64 lines) likely involves global logger registration and access via static mutability, and the low API coverage raises concern that edge cases around concurrent logger initialization and the unsafe set_logger/set_max_level paths may not be thoroughly stress-tested. For unsafe instrumentation benchmarking, t...",42,36,85.71,74.39,36,85.71,74.39,False,0,0
